,410,435,460,485,510,535,560,585,610,635,660,685,710,735,760,785,810,835,PH,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
0,-1.2676929617782924,-1.1474774706483755,-1.027261979518458,-0.9070464883885411,-0.7868309972586242,-0.6666155061287148,-0.6149401688642393,-0.9991571522533316,-0.03761264059744786,-0.03159543740506025,-0.04304538060095895,0.592656833181566,0.45321433571647474,0.7343698914472514,1.0155254471780262,1.2966810029088007,1.5778365586395753,1.85899211437035,6.72,0.09,1.05,26.1,444.0,6.14,2.32,11.21,3.08,14.1,2.23,0.84,1.22
1,-1.2115312577557664,-1.1000466337133137,-0.9885620096708603,-0.8770773856284073,-0.765592761585954,-0.6541081375435066,-0.3873317143775295,-0.9465977110703648,-0.1459407684838093,-0.2502832106527088,-0.2954699420467406,0.5238245558421809,0.41054460050371744,0.7195745587480173,1.0286045169923148,1.3376344752366125,1.64666443348091,1.9556943917252074,6.04,0.17,0.33,81.99,372.0,5.98,0.5,12.93,47.74,37.63,3.28,6.79,1.13
2,0.5181115315046385,0.2174607230186869,-0.0831900854672646,-0.3838408939532163,-0.6844917024391678,-0.9851425109251296,-1.3061553134864008,-1.8110418400762225,-0.6623350153434634,-0.7026655763924441,-0.6590780994125756,0.2507424956325149,0.18713579902595132,0.5317232319049078,0.8763106647838637,1.220898097662819,1.5654855305417745,1.9100729634207303,5.35,0.07,0.87,80.59,132.0,3.15,2.49,5.17,14.96,44.53,1.22,1.21,0.98
3,-1.7014297800922629,-1.4735498373617166,-1.2456698946311706,-1.0177899519006246,-0.7899100091700784,-0.5620300664395376,-0.3883306495975483,-0.4997144615919395,0.16648380352550543,0.21307859652796218,0.26880457711223704,0.6245913715022448,0.5924746701103333,0.7825158888739961,0.9725571076376579,1.1625983264013198,1.3526395451649815,1.5426807639286437,6.38,0.03,0.48,33.81,221.76,3.4,1.9,11.59,6.38,10.62,1.77,0.99,0.27
4,-1.7568878132447494,-1.5110593293087087,-1.265230845372668,-1.0194023614366277,-0.7735738775005869,-0.527745393564551,-0.20238284875539672,-0.4467486550163061,0.17778175390192275,0.14742349383943268,0.16320886527550277,0.6376115291647481,0.5967126075338691,0.7831612633215216,0.9696099191091729,1.1560585748968242,1.3425072306844756,1.5289558864721269,8.58,0.04,0.69,38.19,234.08,6.6,5.2,34.1,14.08,3.56,1.56,0.4,0.77
5,-1.1953881187397133,-1.10681000032748,-1.018231881915246,-0.9296537635030127,-0.8410756450907794,-0.7524975266785523,-0.6885114365517514,-0.9531337426751277,-0.08261714154575416,-0.07334701749965222,-0.02403660582294075,0.6044320152411721,0.5496423020325837,0.8005101055601401,1.0513779090876956,1.3022457126152511,1.5531135161428067,1.8039813196703622,8.6,0.13,0.57,13.14,308.0,16.6,5.1,17.38,19.25,2.49,1.16,0.11,0.19
6,-1.964782208653891,-1.658701323457648,-1.3526204382614053,-1.0465395530651622,-0.740458667868919,-0.43437778267268085,-0.07056238330058137,-0.24738442804448468,0.35518113030355103,0.3341979256501224,0.38862456998921024,0.6711838629139455,0.6451353744085795,0.7714971777430114,0.8978589810774418,1.024220784411872,1.1505825877463023,1.2769443910807328,6.85,0.11,0.64,32.76,109.53,5.9,3.1,26.49,10.32,21.49,2.6,1.67,0.97
7,-1.8553106180265149,-1.5724937431529182,-1.2896768682793214,-1.0068599934057245,-0.7240431185321277,-0.4412262436585359,-0.2775815688304449,-0.38694505644219723,0.2188725540367636,0.2863223276009256,0.3693499612218524,0.6006184786505465,0.5216920170245876,0.7182801361359333,0.9148682552472778,1.111456374358622,1.3080444934699664,1.504632612581311,6.29,0.06,0.21,56.06,158.21,4.2,1.5,11.59,26.45,17.8,1.19,1.03,0.73
8,-1.6306639490647123,-1.4269924746532832,-1.2233210002418538,-1.0196495258304246,-0.8159780514189952,-0.6123065770075717,-0.3164815413432654,-0.6490582805859392,0.1854630454551512,0.12291663055802951,0.16995819214780378,0.699485685157087,0.6385555233355295,0.8175751704565173,0.9965948175775035,1.1756144646984896,1.3546341118194756,1.5336537589404617,7.49,0.11,0.61,37.49,133.87,4.0,1.2,21.52,7.75,15.7,0.72,1.64,0.89
9,-1.4001391170749589,-1.2577414210168179,-1.1153437249586768,-0.972946028900536,-0.830548332842395,-0.6881506367842598,-0.3967023567839645,-0.7283442062168388,-0.01809783557248511,-0.08046544144171901,-0.05258227518821654,0.5962337801103816,0.556174670156039,0.7966933085383233,1.0372119469206063,1.2777305853028895,1.5182492236851728,1.7587678620674558,7.06,0.49,0.78,48.35,480.09,22.1,7.1,12.0,5.22,20.06,1.91,0.44,0.42
10,-0.7918730964981564,-0.8154776341000148,-0.8390821717018733,-0.8626867093037316,-0.88629124690559,-0.9098957845074572,-0.8494826943068381,-1.1981369788340046,-0.26221061240689103,-0.2839774669482413,-0.19475477097026972,0.6319152172750088,0.5798220799770957,0.8320235112667956,1.084224942556494,1.3364263738461923,1.5886278051358909,1.8408292364255892,7.8,0.48,0.6,21.9,344.68,20.0,11.2,15.75,1.69,12.82,10.38,0.73,0.23
11,0.18313928265359203,-0.04011877155634391,-0.2633768257662801,-0.4866348799762161,-0.7098929341861522,-0.9331509883960973,-1.1036401657809662,-1.679374403969411,-0.6117363887179308,-0.705747956480528,-0.6808733837440689,0.309539040943795,0.21727276204433188,0.5784882155583738,0.9397036690724141,1.3009191225864543,1.6621345761004946,2.023350029614535,7.08,0.14,0.42,36.26,246.2,3.5,3.8,24.33,4.79,5.97,0.75,0.65,0.83
12,-1.786149704501295,-1.5354882812965747,-1.284826858091854,-1.0341654348871339,-0.7835040116824138,-0.5328425884776983,-0.270711503803375,-0.4302688442548898,0.23976335364033127,0.2149002258971631,0.3424214555185484,0.6338289505817699,0.619462325390194,0.7868136113246119,0.954164897259029,1.1215161831934461,1.288867469127863,1.4562187550622805,6.94,0.2,0.88,63.94,295.68,10.16,4.21,14.07,40.54,24.8,2.7,1.24,0.7
13,-1.7174081987718026,-1.4872205664039289,-1.257032934036055,-1.0268453016681818,-0.7966576693003079,-0.5664700369324409,-0.31690118240789444,-0.5218591959996143,0.21172076365913767,0.18816899759920863,0.3071076187334487,0.6242099223137972,0.6079791797363495,0.788733360056119,0.9694875403758872,1.1502417206956554,1.3309959010154238,1.5117500813351916,7.7,0.25,1.21,63.06,751.52,8.27,3.36,21.52,6.81,15.23,3.28,2.79,0.94
14,-1.9282201065245388,-1.6365312130854792,-1.3448423196464196,-1.05315342620736,-0.7614645327683004,-0.46977563932924354,-0.09455917217485237,-0.26820287150996497,0.32549228189781265,0.3146251807972049,0.3876182311077004,0.6688045875067695,0.6613493258629332,0.7874901955135389,0.9136310651641436,1.0397719348147483,1.165912804465353,1.2920536741159578,7.95,0.5,0.4,61.49,406.56,7.73,5.18,22.35,18.74,25.87,0.37,1.06,1.06
15,-1.808193779559792,-1.5508102038008267,-1.2934266280418611,-1.036043052282896,-0.7786594765239306,-0.5212759007649703,-0.23507490217553662,-0.42122227991662053,0.2573084955562212,0.22233152629402672,0.34148565963713917,0.642530907429126,0.6267529988736505,0.7881217749341857,0.9494905509947198,1.110859327055254,1.272228103115788,1.4335968791763223,5.35,0.04,1.0,19.97,36.51,1.5,0.7,14.07,40.68,34.02,1.32,0.53,1.21
16,-1.8284262999952214,-1.5634802774436207,-1.2985342548920193,-1.0335882323404186,-0.7686422097888178,-0.5036961872372214,-0.19567720961325813,-0.3762397695883865,0.2507847964516759,0.2098200741983386,0.3042521309405538,0.6237177993966905,0.615821015758681,0.7814732521159898,0.9471254884732975,1.112777724830605,1.2784299611879126,1.44408219754522,4.9,0.06,0.47,10.34,73.02,1.7,1.3,2.48,26.31,16.94,1.42,0.7,0.81
17,-1.8442400277595101,-1.5884982141108706,-1.332756400462231,-1.0770145868135919,-0.8212727731649526,-0.5655309595163169,-0.3144048501919931,-0.5137637686110496,0.38921391039493264,0.6197480821823279,0.7687556124433236,1.0322033921818063,0.8898067473291184,0.8837214206260138,0.8776360939229073,0.871550767219801,0.8654654405166947,0.8593801138135883,4.98,0.18,0.77,20.15,133.87,3.5,0.8,18.21,61.7,16.28,0.94,0.6,0.77
18,-1.7499313907918836,-1.5087325121480502,-1.267533633504216,-1.0263347548603827,-0.7851358762165486,-0.5439369975727201,-0.23523877951467742,-0.5140026075522804,0.23000318874689465,0.16252931105322485,0.2713562056135088,0.6391727194996084,0.6176569291031131,0.7924464992783703,0.9672360694536261,1.1420256396288817,1.3168152098041377,1.4916047799793932,6.16,0.1,0.98,27.86,462.46,6.7,3.3,24.0,120.77,26.55,0.59,1.2,0.16
19,1.7669196226564412,1.3726174995204503,0.9783153763844595,0.5840132532484688,0.1897111301124779,-0.2045909930235198,-0.6302263818548096,-1.179015649714271,-0.9688229151008414,-1.1437911336987117,-1.1189694517256419,-0.945196336777559,-1.0019559997292606,-0.5145712011726857,-0.02718640261611098,0.46019839594046374,0.9475831944970385,1.4349679930536128,6.08,0.26,1.02,22.6,438.12,10.7,2.0,11.59,55.84,52.61,0.43,0.96,0.45
20,-1.3305079758038387,-1.1937913616550953,-1.0570747475063518,-0.9203581333576084,-0.7836415192088649,-0.6469249050601292,-0.5256925107770986,-0.8944358811960946,-0.036602090983887656,-0.1123394501883408,0.047721443374006925,0.5005391708888238,0.4500355336374125,0.7335618509474134,1.0170881682574133,1.3006144855674127,1.584140802877412,1.867667120187412,7.61,1.31,1.17,14.69,804.0,60.5,19.25,24.45,12.75,4.01,6.37,0.61,0.42
21,-0.911161558992464,-0.88507781503842,-0.8589940710843759,-0.8329103271303321,-0.806826583176288,-0.7807428392222516,-0.7308737144710143,-1.1032753967369,-0.2442908858371622,-0.3190885794390164,-0.19433035982969318,0.42083305898136486,0.40289593704166743,0.7248535003567717,1.046811063671874,1.3687686269869768,1.6907261903020796,2.0126837536171824,7.98,0.54,0.48,5.94,111.84,41.75,15.25,14.2,10.27,10.01,1.93,1.29,0.53
22,-2.168629414985137,-1.7909243451899677,-1.4132192753947987,-1.0355142055996298,-0.6578091358044605,-0.2801040660092934,0.15343189862203022,0.10299390686230914,0.42956688554148503,0.4515890545326743,0.4801927213186054,0.6311219107045835,0.6365287144304156,0.721737499685023,0.8069462849396297,0.8921550701942363,0.9773638554488431,1.0625726407034497,8.28,0.45,0.6,10.0,509.4,42.5,9.0,9.47,12.86,19.41,2.95,0.93,0.15
